FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,EXPEND_PURPOSE_COICOPCOFOG,Expenditure by purpose,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,1097482.4
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,1100748.2
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,1062987.3
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,1039927.8
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,1042633.2
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,1063893.6
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,1072282.3
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,1085494.9
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,1092007.6
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,1093409.6
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,967821.3
A,Annual,IT,Italy,P31_D_W2_S14,Final consumption expenditure of resident and non-resident households on the economic  territory,CP01_13,Total,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,1025086.3
