FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,1820930.4
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,1833594.3
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,1776290.1
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,1743996.7
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,1743972.5
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,1759418.3
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,1781168.6
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,1809733.2
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,1824693.3
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,1832524.2
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,1670011.9
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,1819161.7
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,1906866.7
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,1925471.9
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2024,1938809.1
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,138276.2
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,139833.2
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,132774
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,132507.3
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,131140.5
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,132573.6
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,134131.6
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,138049.3
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,139084
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,138296.6
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,124757
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,135915.4
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,140806.1
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,143347.7
A,Annual,ITC1,Piemonte,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2024,144948.8
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,5367.6
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,5343.3
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,5289.8
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,5018.6
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,4913.6
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,4863.1
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,4750.9
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,4870.9
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,4909
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,4894.3
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,4437.1
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,4704.9
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,4942
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,4996.1
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2024,5052.3
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,53114.6
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,53369.3
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,51425.1
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,49761.1
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,50059
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,49986.7
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,50212.4
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,50872.1
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,50496.5
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,50552.1
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,44959.6
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,48537.4
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,50256.8
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,52307
A,Annual,ITC3,Liguria,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2024,51795.4
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,400195.6
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,402677
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,390277.3
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,382129.3
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,384761.1
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,389042.7
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,395615.9
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2017,403930.1
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2018,410264.4
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2019,410719.4
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2020,380035.5
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2021,419993.6
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2022,437951.5
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2023,439543.8
A,Annual,ITC4,Lombardia,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2024,444662.6
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2010,43350.9
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2011,43990.2
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2012,44218.3
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2013,44298.9
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2014,44467.4
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2015,44814.8
A,Annual,ITDA,Trentino Alto Adige / Südtirol,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M12,Dec-25,2016,45395
