FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,SEX,Gender,AGE,Age (DESC),MARITAL_STATUS,Marital status,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,4328565,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,125653,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1532980,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,10010833,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1074034,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,530313,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,543721,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,4884590,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1210414,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,4459453,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,3701343,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,873744,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1520321,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,5773076,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1300645,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,303790,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,5740291,,
A,Annual,ITF4,Puglia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,3975528,,
A,Annual,ITF5,Basilicata,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,558587,,
A,Annual,ITF6,Calabria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1912021,,
A,Annual,ITG1,Sicilia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,4908548,,
A,Annual,ITG2,Sardegna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2019,1622257,,
