FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,SEX,Gender,AGE,Age (DESC),MARITAL_STATUS,Marital status,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,4311217,,
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,4274945,,
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,4256350,,
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,4251351,,
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,4251623,,
A,Annual,ITC1,Piemonte,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,4251868,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,125034,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,124089,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,123360,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,123130,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,122877,,
A,Annual,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,122532,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,1524826,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,1518495,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,1509227,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,1507636,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,1509140,,
A,Annual,ITC3,Liguria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,1510143,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,10027602,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,9981554,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,9943004,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,9976509,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,10012054,,
A,Annual,ITC4,Lombardia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,10033918,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,1078069,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,1077078,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,1073574,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,1077143,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,1082702,,
A,Annual,ITDA,Trentino Alto Adige / Südtirol,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,1086252,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,532644,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,534912,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,532616,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,534147,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,537533,,
A,Annual,ITD1,Provincia Autonoma Bolzano / Bozen,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,539679,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,545425,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,542166,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,540958,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,542996,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,545169,,
A,Annual,ITD2,Provincia Autonoma Trento,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,546573,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,4879133,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,4869830,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,4847745,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,4849553,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,4852216,,
A,Annual,ITD3,Veneto,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,4853472,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,1206216,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,1201510,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,1194647,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,1194248,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,1194616,,
A,Annual,ITD4,Friuli-Venezia Giulia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,1193284,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,4464119,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,4438937,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,4425366,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,4437578,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,4451938,,
A,Annual,ITD5,Emilia-Romagna,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,4461998,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,3692555,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,3692865,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,3663191,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,3661981,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,3660530,,
A,Annual,ITE1,Toscana,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,3657716,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,870165,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,865452,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,858812,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,856407,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,853068,,
A,Annual,ITE2,Umbria,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,851473,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,1512672,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,1498236,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,1487150,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,1484298,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,1482746,,
A,Annual,ITE3,Marche,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,1480545,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,5755700,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,5730399,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,5714882,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,5720536,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,5714745,,
A,Annual,ITE4,Lazio,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,5709178,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,1293941,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,1281012,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,1275950,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,1272627,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,1269571,,
A,Annual,ITF1,Abruzzo,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,1269118,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,300516,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,294294,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,292150,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,290636,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,289224,,
A,Annual,ITF2,Molise,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,287814,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,5712143,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,5624260,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,5624420,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,5609536,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2024,5593906,,
A,Annual,ITF3,Campania,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2025,5582337,,
A,Annual,ITF4,Puglia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2020,3953305,,
A,Annual,ITF4,Puglia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2021,3933777,,
A,Annual,ITF4,Puglia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2022,3922941,,
A,Annual,ITF4,Puglia,JAN,Population on 1st January,9,Total,TOTAL,Total,99,Total,2023,3907683,,
