FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ACCIDENT_LOCALIZATON,Localization of the accident,INTERSECTION,Intersection (DESC),TY_ROAD_ACCIDENT,Road accident type,RESULT,Result (DESC),PERSON_CLASS,Person class,AGE,Age (DESC),SEX,Sex (DESC),MONTH,Month (DESC),TIME_PERIOD,Observation
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2010,233
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2011,206
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2012,219
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2013,184
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2014,179
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2015,165
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2016,164
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2017,184
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2018,174
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2019,164
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2020,128
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2021,144
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2022,162
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,M,Killed,C,Driver,TOTAL,Total,9,Total,99,Total,2023,132
