FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2010,18.7
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2011,17.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2012,14.8
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2013,15.8
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2014,14.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2015,15.2
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2016,15.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2017,14.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2018,14.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2019,15.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2020,13.9
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2021,14.7
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2022,15.4
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2023,16.7
A,Annual,IT,Italy,HOUS_DIFFPARK_V,Households declaring to live in an area where some problems are present: difficult parking: very much,HSC_F,Per 100 households with the same characteristics,2024,17.4
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2010,39.6
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2011,38
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2012,35.8
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2013,37.2
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2014,35.2
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2015,37.3
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2016,37.2
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2017,35.9
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2018,35.7
A,Annual,IT,Italy,HOUS_DIFFPARK_VQ,Households declaring to live in an area where some problems are present: difficult parking: very much and quite,HSC_F,Per 100 households with the same characteristics,2019,37.4
