FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ACCIDENT_LOCALIZATON,Localization of the accident,TIME_PERIOD,Observation
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2010,1.10261
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2011,1.11067
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2012,1.12306
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2013,1.04515
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2014,1.12651
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2015,1.15134
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2016,1.11588
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2017,1.12447
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2018,1.10538
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2019,1.04803
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2020,1.22401
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2021,1.13923
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2022,1.09426
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2023,1.08925
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),1,Urban road,2024,1.02573
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2010,3.11284
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2011,3.07077
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2012,3.50915
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2013,3.46465
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2014,3.1373
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2015,3.3228
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2016,2.92735
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2017,3.15061
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2018,3.49687
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2019,3.4156
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2020,3.57733
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2021,3.22369
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2022,3.52239
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2023,2.70515
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),2,Motorway,2024,2.711
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2010,4.97685
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2011,4.72772
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2012,5.03345
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2013,4.61917
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2014,4.63468
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2015,4.6443
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2016,4.37663
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2017,4.60416
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2018,4.40724
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2019,4.24294
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2020,4.35314
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2021,4.10008
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2022,4.289
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2023,4.12287
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),3,Other roads,2024,3.97196
A,Annual,IT,Italy,KILLEDINDX,Killed in road accidents - in respect of total accidents (per hundred values),9,Total,2010,1.93148
