FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,IMPUTED_RENTS,Including or not including imputed rents,FAM_MAIN_INCOME_SOURCE,Households main income source,TIME_PERIOD,Observation
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2010,29790
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2011,29877
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2012,29422
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2013,29712
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2014,29694
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2015,29273
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2016,29778
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2017,30352
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2018,30482
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2019,32208
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2020,31495
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2021,32168
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2022,33546
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2023,35077
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2010,24606
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2011,24811
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2012,24171
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2013,24310
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2014,24190
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2015,24522
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2016,25091
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2017,25426
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2018,25716
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2019,27102
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2020,26597
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2021,26979
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2022,28865
A,Annual,IT,Italy,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2023,30039
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2010,35439
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2011,35371
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2012,34847
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2013,34866
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2014,35017
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2015,34743
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2016,35204
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2017,36293
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2018,36416
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2019,38319
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2020,37786
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2021,39144
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2022,41004
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,1,Including imputed rents,9,Total,2023,42715
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2010,30220
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2011,30236
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2012,29579
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2013,29473
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2014,29472
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2015,29988
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2016,30595
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2017,31393
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2018,31641
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2019,33106
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2020,32812
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2021,33798
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2022,35995
A,Annual,IT,Italy,REDD_MEDIO_FAM,Annual average households income,2,Not including imputed rents,9,Total,2023,37511
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2010,30665
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2011,31991
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2012,30825
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2013,30401
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2014,31010
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2015,29580
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2016,29232
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2017,29999
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2018,31634
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2019,32300
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2020,32124
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2021,32144
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2022,34242
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2023,37312
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2010,26048
A,Annual,ITC1,Piemonte,REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2011,26817
