FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),AGE,Age (DESC),TIME_PERIOD,Observation
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2010,10.7
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2011,11.8
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2012,11.5
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2013,11.4
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2014,11.1
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2015,11.8
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2016,11.4
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2017,12
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2018,12.4
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2019,12
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2020,11.7
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2021,12.3
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2022,11.7
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2023,11.8
A,Annual,IT,Italy,15_EMPMOV_FOOT,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: by foot,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2024,12
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2010,88.7
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2011,87.7
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2012,87.9
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2013,88
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2014,88.1
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2015,87.3
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2016,87.9
A,Annual,IT,Italy,15_EMPMOV_MEANS,Employed aged 15 years and over who leave home to go to the work by means of trasport used and time spent: they use means of transport,HSC,Per 100 people with the same characteristics,Y_GE15,15 years and over,2017,86.8
