FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,VEHICLE_TYPE,Vehicle type,TIME_PERIOD,Observation
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2010,2782541
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2011,2806330
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2012,2813266
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2013,2824985
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2014,2833499
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2015,2844680
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2016,2883412
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2017,2939164
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2018,2938884
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2019,2938022
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2020,2915687
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2021,2878450
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2022,2900449
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2023,2997121
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,1,Motor cars,2024,3075162
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2010,6413
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2011,6419
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2012,6339
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2013,6268
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2014,6184
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2015,6211
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2016,5993
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2017,6063
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2018,6157
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2019,6196
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2020,6024
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2021,5771
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2022,5626
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2023,5537
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,2,Bus or trolley-bus,2024,5464
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2010,382169
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2011,384666
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2012,383407
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2013,382382
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2014,380337
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2015,379875
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2016,386027
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2017,388049
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2018,388788
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2019,388401
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2020,389289
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2021,391768
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2022,395671
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2023,413376
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,10,Trucks,2024,434353
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2010,11395
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2011,11310
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2012,10915
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2013,10550
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2014,10589
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2015,10692
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2016,11099
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2017,11692
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2018,12498
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2019,12743
A,Annual,ITC1,Piemonte,VEHICFLEET,Vehicles fleet,11,Motor units,2020,12827
