reg_name,elev_mean,elev_median,elev_std,elev_range,elev_iqr,elev_p25,elev_p75,slope_mean,slope_std,slope_max,slope_p95,rugged_score
Piemonte,805.0305696992685,431.0,753.7689924256526,4517.0,1632.0,251.0,1883.0,14.607297216313768,13.365282041079475,86.40047454833984,42.192936,73.14257925739324
Valle d'Aosta/Vallée d'Aoste,2103.3100077010195,2179.0,709.3541477063598,4500.0,996.0,1675.0,2671.0,27.0741945411423,12.563650713703781,83.26641082763672,49.122356,84.63784525484608
Lombardia,615.7199001422097,206.0,771.7061705837745,3964.0,1234.0,83.0,1317.0,11.961572845656743,13.694113696922713,87.93075561523438,40.074085,65.29568654257946
Trentino-Alto Adige/Südtirol,1593.7986898650656,1607.0,680.2941401936735,3819.0,1195.0,912.0,2107.0,24.157185968299373,12.438239205798967,88.21217346191406,45.48828,74.78542517409834
Veneto,400.6898733101875,41.0,624.2536627908758,3275.0,1121.0,4.0,1125.0,9.29540519184824,12.5704546341414,88.2170639038086,39.20374,54.61585982598964
Friuli-Venezia Giulia,553.9443563498022,252.0,590.8253724100431,2771.0,1022.0,22.0,1044.0,14.553059511264735,15.121569680055755,86.91693878173828,42.60079,57.38462919132049
Liguria,533.3238275062846,489.0,346.95442579805,2187.0,1087.0,-468.0,619.0,19.895803493904417,9.193713319641974,80.0939712524414,31.940039,50.95951681354639
Emilia-Romagna,295.5804120368731,108.0,363.6445282117833,2184.0,459.0,1.0,460.0,8.19926422138417,8.515066835453156,75.19743347167969,27.742819,38.55433105683733
Toscana,358.237053297375,283.0,306.26573409904915,2101.0,456.0,-31.0,425.0,11.548519631406325,8.801012633408066,82.31938171386719,25.965794,41.35953226481439
Umbria,493.0682161681842,421.0,289.52989470817863,2385.0,405.0,295.0,700.0,12.309172025556567,8.817384075863083,80.82672882080078,31.108852,44.97655610141965
Marche,397.1687760822661,307.0,346.2927091643425,2517.0,457.0,84.0,541.0,12.976617394004018,9.130990649115063,82.23377990722656,29.178677,47.27760804311908
Lazio,397.5093485763071,271.0,394.90346608577204,2635.0,748.0,-231.0,517.0,10.415816351499844,9.365913655946855,81.5140609741211,28.260187,46.1317300074467
Abruzzo,795.9131789867297,733.0,554.1794864832154,2892.0,958.0,112.0,1070.0,14.36407667269743,9.80526771344916,79.69277954101562,31.822525,53.08934438614659
Molise,574.4072680292862,569.0,332.55821868445383,2165.0,529.0,324.0,853.0,10.971951381945496,7.203103927734885,76.59723663330078,27.923609,39.82505530968038
Campania,435.98591299334964,389.0,347.5971074468167,1956.0,684.0,-134.0,550.0,11.673554312677481,9.747934008152258,81.46595764160156,27.419016,40.98148832082974
Puglia,204.54199806779846,131.0,192.7138407432102,1259.0,787.0,-521.0,266.0,3.755667024102211,4.493664337077927,72.57489776611328,18.877531,20.839331361180136
Basilicata,561.6585084946834,523.0,346.8927697755519,2252.0,473.0,238.0,711.0,11.397481398344388,7.871663532820636,81.8207015991211,26.783882,41.789144931165026
Calabria,523.4209528254208,406.0,431.7439195943523,2486.0,1102.0,-672.0,430.0,14.258231775476146,9.77852753851961,81.5250244140625,28.011532,48.89675931399576
Sicilia,427.2002078673151,366.0,338.5337263701356,3706.0,857.0,-896.0,-39.0,10.550321376790148,8.180985451448892,84.89920806884766,16.945662,55.791306828239044
Sardegna,338.7861716066404,282.0,276.30363334662115,1870.0,412.0,-60.0,352.0,10.564882733479704,8.863283993941232,80.65484619140625,24.99385,38.12816672742093
