reg_name,elev_mean,elev_median,elev_std,elev_range,elev_iqr,elev_p25,elev_p75,slope_mean,slope_std,slope_max,slope_p95,rugged_score,precip_sum_mm,rain_sum_mm,snowfall_sum_cm,precip_hours_hr,temp_mean_c,temp_min_c,temp_max_c,wind_speed10m_max_ms,wind_gust10m_max_ms,shortwave_rad_sum_MJm2,sunshine_duration_s,cloud_cover_mean_pct,latitude,longitude,Buses or trolley-buses per capita (vehicles),Motor cars per capita (vehicles),Motor units per capita (vehicles),Motorcycles per capita (vehicles),Other vehicles per capita (vehicles),Three-wheelers or motor-vans per capita (vehicles),Total vehicles per capita (fleet),Trailers per capita (vehicles),Trucks per capita (vehicles)
Piemonte,805.0305696992685,431.0,753.7689924256526,4517.0,1632.0,251.0,1883.0,14.607297216313768,13.365282041079476,86.40047454833984,42.192936,73.14257925739324,1354.7,1346.7,5.6000000000000005,1599.0,13.080601092896174,-5.6,33.0,28.2,53.3,4850.049999999999,10570150.38,61.37431693989071,45.02636,7.9658384,0.0012851563,0.7232913172000001,0.0033817674,0.1227463018,2.3520000000000001e-07,0.0048870749,0.9646937181,0.0069401732,0.1021616921
Valle d'Aosta / Vallée d'Aoste,2103.3100077010195,2179.0,709.3541477063598,4500.0,996.0,1675.0,2671.0,27.0741945411423,12.56365071370378,83.26641082763672,49.122356,84.63784525484608,2066.7,1313.9,527.38,2204.0,13.4948087431694,-8.5,35.2,15.1,95.0,5286.049999999999,11257343.9,61.93715846994535,45.729347,7.3817034,0.0020915224,1.9300764179,0.0020915224,0.1477737901,0.0,0.029265037400000003,2.6349845781,0.005151493,0.518534795
Lombardia,615.7199001422097,206.0,771.7061705837745,3964.0,1234.0,83.0,1317.0,11.961572845656743,13.694113696922711,87.93075561523438,40.074085,65.29568654257946,1847.7,1844.0,2.59,1733.0,13.73032786885246,-4.9,33.5,37.5,68.0,4836.67,10890507.01,58.13387978142077,45.58875,9.764151,0.0010850920000000002,0.6418589033000001,0.0033294866,0.12339625820000001,1.998e-07,0.0028147072,0.8557110259,0.0068754124,0.0763509665
Trentino Alto Adige / Südtirol,1593.7986898650656,1607.0,680.2941401936735,3819.0,1195.0,912.0,2107.0,24.157185968299373,12.438239205798968,88.21217346191406,45.48828,74.78542517409834,1126.9,1022.2,73.28999999999999,1516.0,12.411748633879782,-9.7,33.6,14.9,59.0,5066.049999999999,11521484.89,59.53278688524591,46.432335,11.25,0.0023182741,1.1926162508,0.008235876500000001,0.1304837342,0.0,0.0076041238,1.5627143942,0.0174027572,0.2040533776
Veneto,400.6898733101875,41.0,624.2536627908758,3275.0,1121.0,4.0,1125.0,9.29540519184824,12.5704546341414,88.2170639038086,39.20374,54.61585982598964,1628.0,1622.3,3.99,1399.0,14.470765027322404,-4.8,35.5,38.7,72.0,4936.1,11386790.84,59.833333333333336,45.65905,11.905513,0.0014121383,0.6806683791,0.004964948,0.1147650888,0.0,0.0024199252,0.906350418,0.010019133500000001,0.0921008051
Friuli-Venezia Giulia,553.9443563498022,252.0,590.8253724100431,2771.0,1022.0,22.0,1044.0,14.553059511264737,15.121569680055757,86.91693878173828,42.60079,57.38462919132049,1877.9,1871.3,4.619999999999999,1637.0,13.48825136612022,-5.4,34.5,31.7,68.4,4724.85,10704163.99,60.77322404371585,46.151142,13.041401,0.0014724397,0.6938874082,0.0034688971000000003,0.1355866655,0.0,0.0039025093000000003,0.9339444642,0.0075706336,0.0880559109
Liguria,533.3238275062846,489.0,346.95442579805,2187.0,1087.0,-468.0,619.0,19.895803493904417,9.193713319641974,80.0939712524414,31.940039,50.95951681354639,1336.2999999999995,1336.2999999999995,0.0,1361.0,18.266393442622952,7.1,31.7,65.5,90.4,5240.6,11653102.4,54.86065573770492,44.253075,8.656488,0.0016499463000000001,0.5632996276000001,0.0022695045,0.2892601084,6.626e-07,0.0094967995,0.9427342725000001,0.0046079224000000005,0.0721497012
Emilia-Romagna,295.5804120368731,108.0,363.6445282117833,2184.0,459.0,1.0,460.0,8.19926422138417,8.515066835453156,75.19743347167969,27.742819,38.55433105683733,1156.4,1149.1,5.109999999999999,1251.0,14.53934426229508,-3.5,35.3,32.4,63.4,5131.65,11434205.510000002,54.31147540983606,44.534267,11.059908,0.0014164618,0.6924692123,0.0041891868,0.1335133149,4.492e-07,0.0029265906,0.9439095962,0.0084006111,0.1009937695
Toscana,358.237053297375,283.0,306.26573409904915,2101.0,456.0,-31.0,425.0,11.548519631406323,8.801012633408066,82.31938171386719,25.965794,41.35953226481439,945.8,945.3,0.35,1234.0,16.08306010928962,-3.0,39.4,32.6,74.9,5497.6,11796821.08,51.48087431693989,43.479786,11.08108,0.0016871874,0.7438556712000001,0.0023608603,0.1658492076,0.0,0.0073300861,1.0281557589,0.0054177947,0.1016549516
Umbria,493.0682161681842,421.0,289.52989470817863,2385.0,405.0,295.0,700.0,12.309172025556569,8.817384075863083,80.82672882080078,31.108852,44.97655610141965,951.9,950.5,0.98,1161.0,13.96311475409836,-5.7,37.8,38.0,80.3,5646.82,12405826.32,54.90710382513661,42.987698,12.43685,0.0017091252,0.7727437906,0.0050500077,0.1236759555,1.1722e-06,0.0081728537,1.0215012168,0.0105454665,0.0996028453
