Data values,Data description,Area code,Area name,Indicator,Notes
1.07,Rate per 100,W01000003,Amlwch Port,Police recorded violence with injury per at-risk population,
0.75,Rate per 100,W01000003,Amlwch Port,Police recorded public order offences per at-risk population,
0.86,Rate per 100,W01000003,Amlwch Port,Police recorded criminal damage per at-risk population,
1.2,Rate per 100,W01000003,Amlwch Port,Police recorded violence without injury per at-risk population,
1.22,Rate per 100,W01000003,Amlwch Port,Police recorded stalking and harassment per at-risk population,
1.78,Rate per 100,W01000003,Amlwch Port,Police recorded antisocial behaviour per at-risk population,
0.41,Rate per 100,W01000003,Amlwch Port,Police recorded theft per at-risk population,
0.37,Rate per 100,W01000003,Amlwch Port,Police recorded burglary per residential dwelling,
0.31,Rate per 100,W01000003,Amlwch Port,Fire incidents per at-risk population,
0.4,Rate per 100,W01000004,Amlwch Rural,Police recorded violence with injury per at-risk population,
,Rate per 100,W01000004,Amlwch Rural,Police recorded public order offences per at-risk population,Confidential
0.36,Rate per 100,W01000004,Amlwch Rural,Police recorded criminal damage per at-risk population,
0.61,Rate per 100,W01000004,Amlwch Rural,Police recorded violence without injury per at-risk population,
0.82,Rate per 100,W01000004,Amlwch Rural,Police recorded stalking and harassment per at-risk population,
0.89,Rate per 100,W01000004,Amlwch Rural,Police recorded antisocial behaviour per at-risk population,
,Rate per 100,W01000004,Amlwch Rural,Police recorded theft per at-risk population,Confidential
,Rate per 100,W01000004,Amlwch Rural,Police recorded burglary per residential dwelling,Confidential
0.39,Rate per 100,W01000004,Amlwch Rural,Fire incidents per at-risk population,
0.7,Rate per 100,W01000005,Beaumaris,Police recorded violence with injury per at-risk population,
0.77,Rate per 100,W01000005,Beaumaris,Police recorded public order offences per at-risk population,
0.9,Rate per 100,W01000005,Beaumaris,Police recorded criminal damage per at-risk population,
1.21,Rate per 100,W01000005,Beaumaris,Police recorded violence without injury per at-risk population,
1.11,Rate per 100,W01000005,Beaumaris,Police recorded stalking and harassment per at-risk population,
0.9,Rate per 100,W01000005,Beaumaris,Police recorded antisocial behaviour per at-risk population,
0.56,Rate per 100,W01000005,Beaumaris,Police recorded theft per at-risk population,
,Rate per 100,W01000005,Beaumaris,Police recorded burglary per residential dwelling,Confidential
0.25,Rate per 100,W01000005,Beaumaris,Fire incidents per at-risk population,
0.36,Rate per 100,W01000006,Bodffordd,Police recorded violence with injury per at-risk population,
0.3,Rate per 100,W01000006,Bodffordd,Police recorded public order offences per at-risk population,
0.37,Rate per 100,W01000006,Bodffordd,Police recorded criminal damage per at-risk population,
0.7,Rate per 100,W01000006,Bodffordd,Police recorded violence without injury per at-risk population,
0.76,Rate per 100,W01000006,Bodffordd,Police recorded stalking and harassment per at-risk population,
0.45,Rate per 100,W01000006,Bodffordd,Police recorded antisocial behaviour per at-risk population,
0.31,Rate per 100,W01000006,Bodffordd,Police recorded theft per at-risk population,
,Rate per 100,W01000006,Bodffordd,Police recorded burglary per residential dwelling,Confidential
0.21,Rate per 100,W01000006,Bodffordd,Fire incidents per at-risk population,
0.41,Rate per 100,W01000007,Bodorgan,Police recorded violence with injury per at-risk population,
0.4,Rate per 100,W01000007,Bodorgan,Police recorded public order offences per at-risk population,
0.33,Rate per 100,W01000007,Bodorgan,Police recorded criminal damage per at-risk population,
0.37,Rate per 100,W01000007,Bodorgan,Police recorded violence without injury per at-risk population,
0.8,Rate per 100,W01000007,Bodorgan,Police recorded stalking and harassment per at-risk population,
0.84,Rate per 100,W01000007,Bodorgan,Police recorded antisocial behaviour per at-risk population,
0.3,Rate per 100,W01000007,Bodorgan,Police recorded theft per at-risk population,
,Rate per 100,W01000007,Bodorgan,Police recorded burglary per residential dwelling,Confidential
0.36,Rate per 100,W01000007,Bodorgan,Fire incidents per at-risk population,
0.43,Rate per 100,W01000008,Braint,Police recorded violence with injury per at-risk population,
0.32,Rate per 100,W01000008,Braint,Police recorded public order offences per at-risk population,
,Rate per 100,W01000008,Braint,Police recorded criminal damage per at-risk population,Confidential
0.49,Rate per 100,W01000008,Braint,Police recorded violence without injury per at-risk population,
0.55,Rate per 100,W01000008,Braint,Police recorded stalking and harassment per at-risk population,
0.68,Rate per 100,W01000008,Braint,Police recorded antisocial behaviour per at-risk population,
0.36,Rate per 100,W01000008,Braint,Police recorded theft per at-risk population,
,Rate per 100,W01000008,Braint,Police recorded burglary per residential dwelling,Confidential
0.16,Rate per 100,W01000008,Braint,Fire incidents per at-risk population,
0.65,Rate per 100,W01000009,Bryngwran,Police recorded violence with injury per at-risk population,
0.48,Rate per 100,W01000009,Bryngwran,Police recorded public order offences per at-risk population,
0.76,Rate per 100,W01000009,Bryngwran,Police recorded criminal damage per at-risk population,
0.86,Rate per 100,W01000009,Bryngwran,Police recorded violence without injury per at-risk population,
1.21,Rate per 100,W01000009,Bryngwran,Police recorded stalking and harassment per at-risk population,
1.9,Rate per 100,W01000009,Bryngwran,Police recorded antisocial behaviour per at-risk population,
0.49,Rate per 100,W01000009,Bryngwran,Police recorded theft per at-risk population,
,Rate per 100,W01000009,Bryngwran,Police recorded burglary per residential dwelling,Confidential
0.29,Rate per 100,W01000009,Bryngwran,Fire incidents per at-risk population,
0.35,Rate per 100,W01000010,Brynteg,Police recorded violence with injury per at-risk population,
0.31,Rate per 100,W01000010,Brynteg,Police recorded public order offences per at-risk population,
0.28,Rate per 100,W01000010,Brynteg,Police recorded criminal damage per at-risk population,
0.6,Rate per 100,W01000010,Brynteg,Police recorded violence without injury per at-risk population,
0.55,Rate per 100,W01000010,Brynteg,Police recorded stalking and harassment per at-risk population,
0.74,Rate per 100,W01000010,Brynteg,Police recorded antisocial behaviour per at-risk population,
0.44,Rate per 100,W01000010,Brynteg,Police recorded theft per at-risk population,
,Rate per 100,W01000010,Brynteg,Police recorded burglary per residential dwelling,Confidential
0.15,Rate per 100,W01000010,Brynteg,Fire incidents per at-risk population,
0.9,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded violence with injury per at-risk population,
1.17,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded public order offences per at-risk population,
1.17,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded criminal damage per at-risk population,
1.15,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded violence without injury per at-risk population,
0.71,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded stalking and harassment per at-risk population,
1.65,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded antisocial behaviour per at-risk population,
1.17,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded theft per at-risk population,
0.7,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Police recorded burglary per residential dwelling,
0.26,Rate per 100,W01000011,Cadnant (Isle of Anglesey),Fire incidents per at-risk population,
0.38,Rate per 100,W01000012,Cefni,Police recorded violence with injury per at-risk population,
0.51,Rate per 100,W01000012,Cefni,Police recorded public order offences per at-risk population,
0.42,Rate per 100,W01000012,Cefni,Police recorded criminal damage per at-risk population,
0.64,Rate per 100,W01000012,Cefni,Police recorded violence without injury per at-risk population,
0.84,Rate per 100,W01000012,Cefni,Police recorded stalking and harassment per at-risk population,
1.14,Rate per 100,W01000012,Cefni,Police recorded antisocial behaviour per at-risk population,
0.4,Rate per 100,W01000012,Cefni,Police recorded theft per at-risk population,
,Rate per 100,W01000012,Cefni,Police recorded burglary per residential dwelling,Confidential
0.18,Rate per 100,W01000012,Cefni,Fire incidents per at-risk population,
0.26,Rate per 100,W01000013,Cwm Cadnant,Police recorded violence with injury per at-risk population,
0.38,Rate per 100,W01000013,Cwm Cadnant,Police recorded public order offences per at-risk population,
0.43,Rate per 100,W01000013,Cwm Cadnant,Police recorded criminal damage per at-risk population,
0.58,Rate per 100,W01000013,Cwm Cadnant,Police recorded violence without injury per at-risk population,
0.72,Rate per 100,W01000013,Cwm Cadnant,Police recorded stalking and harassment per at-risk population,
0.72,Rate per 100,W01000013,Cwm Cadnant,Police recorded antisocial behaviour per at-risk population,
0.36,Rate per 100,W01000013,Cwm Cadnant,Police recorded theft per at-risk population,
,Rate per 100,W01000013,Cwm Cadnant,Police recorded burglary per residential dwelling,Confidential
0.17,Rate per 100,W01000013,Cwm Cadnant,Fire incidents per at-risk population,
0.5,Rate per 100,W01000014,Cyngar,Police recorded violence with injury per at-risk population,
0.81,Rate per 100,W01000014,Cyngar,Police recorded public order offences per at-risk population,
0.79,Rate per 100,W01000014,Cyngar,Police recorded criminal damage per at-risk population,
0.82,Rate per 100,W01000014,Cyngar,Police recorded violence without injury per at-risk population,
0.87,Rate per 100,W01000014,Cyngar,Police recorded stalking and harassment per at-risk population,
1.32,Rate per 100,W01000014,Cyngar,Police recorded antisocial behaviour per at-risk population,
0.51,Rate per 100,W01000014,Cyngar,Police recorded theft per at-risk population,
,Rate per 100,W01000014,Cyngar,Police recorded burglary per residential dwelling,Confidential
0.12,Rate per 100,W01000014,Cyngar,Fire incidents per at-risk population,
0.4,Rate per 100,W01000015,Gwyngyll,Police recorded violence with injury per at-risk population,
,Rate per 100,W01000015,Gwyngyll,Police recorded public order offences per at-risk population,Confidential
0.36,Rate per 100,W01000015,Gwyngyll,Police recorded criminal damage per at-risk population,
0.47,Rate per 100,W01000015,Gwyngyll,Police recorded violence without injury per at-risk population,
0.43,Rate per 100,W01000015,Gwyngyll,Police recorded stalking and harassment per at-risk population,
0.72,Rate per 100,W01000015,Gwyngyll,Police recorded antisocial behaviour per at-risk population,
0.46,Rate per 100,W01000015,Gwyngyll,Police recorded theft per at-risk population,
,Rate per 100,W01000015,Gwyngyll,Police recorded burglary per residential dwelling,Confidential
0.2,Rate per 100,W01000015,Gwyngyll,Fire incidents per at-risk population,
2.11,Rate per 100,W01000016,Tref Cybi,Police recorded violence with injury per at-risk population,
